Skyddat fynd;Id;Taxonsorteringsordning;Valideringsstatus;Rödlistade;TaxonId;Artnamn;Vetenskapligt namn;Auktor;Antal;Enhet;Ålder-Stadium;Kön;Aktivitet;Längd (mm);Vikt (g);Metod;Huvudlokal;Lokalnamn;Ost;Nord;Noggrannhet;Diffusion;Län;Kommun;Provins;Församling;Externid;Startdatum;Starttid;Slutdatum;Sluttid
;14960317;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);noterad;;;;;;;;;Gunnetorp;1475900;6240920;250;0;Blekinge;Karlskrona;Blekinge;Tving;;2011-07-03;;2011-07-08;
;15537157;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;;imago/adult;hane;födosökande;;;observerad;;Stuglyckan Gödeby;1303970;6326400;100;0;Halland;Varberg;Halland;Sibbarp;;2013-07-12;;2013-07-12;
;15547590;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;;imago/adult;;födosökande;;;;;Björsmåla;1491180;6241580;50;0;Blekinge;Karlskrona;Blekinge;Rödeby;;2013-07-10;;2013-07-10;
;16452066;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult; ; ;;;observerad;;Göstad Östergård;1507935;6478123;250;0;Östergötland;Linköping;Östergötland;Örtomta;;2014-07-22;;2014-07-22;
;17163028;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);2;;;;;;;;;Vilske-Kleva--Östra Tunhem;1363280;6457356;500;0;Västra Götaland;Falköping;Västergötland;Vilske-Kleva;;2014-06-18;;2014-07-29;
;75602678;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult;;;;;fönsterfälla;;Mjölby: Ramstadlyckorna 1;1459596;6467845;25;0;Östergötland;Mjölby;Östergötland;Mjölby;;2018-05-09;;2018-07-20;
;75608095;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult;;;;;fönsterfälla;;Gyabjär, norr om Kärrtorpsvägen, i anslutning till Stehags västra delar;1348662;6199560;200;0;Skåne;Eslöv;Skåne;Stehag;;2018-05-14;;2018-07-31;
;75608641;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult;;;;;fönsterfälla;;Stockamöllan, lövskogsområde i Lindarnas vägs förlängning, i anslutning ...;1347991;6204316;100;0;Skåne;Eslöv;Skåne;Billinge;;2018-05-14;;2018-07-31;
;75611598;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult;;;;;fönsterfälla;;Gyabjär, norr om Kärrtorpsvägen, i anslutning till Stehags västra delar;1348662;6199560;200;0;Skåne;Eslöv;Skåne;Stehag;;2018-05-14;;2018-07-31;
;75611969;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult; ; ;;;fönsterfälla;;Stockamöllan, lövskogsområde i Lindarnas vägs förlängning, i anslutning ...;1347991;6204316;100;0;Skåne;Eslöv;Skåne;Billinge;;2018-05-14;;2018-07-31;
;80953034;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);noterad;;;;;;;fönsterfälla;;Engelska parken 2;1387420;6469500;10;0;Västra Götaland;Skövde;Västergötland;Norra Kyrketorp;;2018-08-13;;2018-08-13;
;81851130;41578;Ovaliderad;;100328;[Sälgskimmerfjäril];[Apatura iris];[(Linnaeus, 1758)];noterad;;imago/adult;;;;;observerad;;Ölvedal, Fårbo;1540142;6370688;200;0;Kalmar;Oskarshamn;Småland;Misterhult;;2018-06-24;;2018-06-24;
;81851131;41578;Ovaliderad;;100328;[Sälgskimmerfjäril];[Apatura iris];[(Linnaeus, 1758)];noterad;;imago/adult;;;;;observerad;;Ölvedal, Fårbo;1540142;6370688;200;0;Kalmar;Oskarshamn;Småland;Misterhult;;2017-07-04;;2017-07-04;
