Skyddat fynd;Id;Taxonsorteringsordning;Valideringsstatus;Rödlistade;TaxonId;Artnamn;Vetenskapligt namn;Auktor;Antal;Enhet;Ålder-Stadium;Kön;Aktivitet;Längd (mm);Vikt (g);Metod;Huvudlokal;Lokalnamn;Ost;Nord;Noggrannhet;Diffusion;Län;Kommun;Provins;Församling;Externid;Startdatum;Starttid;Slutdatum;Sluttid
;13154464;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;;imago/adult;;;;;observerad;;BCPW  Flen;1544610;6548800;100;0;Södermanland;Flen;Södermanland;Flen;;2006-07-26;13:30;2006-07-26;13:30
;13161998;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2;;imago/adult;;;;;observerad;;Ängsmark S Västerlund;1539440;6537630;100;0;Södermanland;Katrineholm;Södermanland;Lerbo;;2006-08-05;14:00;2006-08-05;14:00
;13193748;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1; ;imago/adult;;friflygande;;;observerad;;Järleån NR;1461928;6600649;50;0;Örebro;Nora;Västmanland;Nora;;2006-08-10;;2006-08-10;
;13193780;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);3;;imago/adult;;friflygande;;;observerad;;Näset Unden NR;1424980;6522067;50;0;Örebro;Laxå;Västergötland;Finnerödja;;2006-07-06;;2006-07-06;
;13193793;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);3;;imago/adult;;friflygande;;;observerad;;Näset Unden NR;1424980;6522067;50;0;Örebro;Laxå;Västergötland;Finnerödja;;2006-08-10;;2006-08-10;
;13193808;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;;imago/adult;;friflygande;;;observerad;;Älvhytteängen NR;1444223;6591267;50;0;Örebro;Nora;Västmanland;Viker;;2006-08-10;;2006-08-10;
;13221534;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);noterad;;;;;;;observerad;;vid Disrojr, Gurfiles;1665000;6370900;100;0;Gotland;Gotland;Gotland;Vänge;;2006-07-17;;2006-07-17;
;13221559;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);noterad;;;;;;;observerad;;Kyrkebingegrunn;1679200;6385600;100;0;Gotland;Gotland;Gotland;Gothem;;2006-07-20;;2006-07-20;
;13221626;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);noterad;;;;;;;observerad;;vid Käldänget, Garda;1668600;6358000;100;0;Gotland;Gotland;Gotland;Garde;;2006-07-25;;2006-07-25;
;13516521;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2;;imago/adult;;friflygande;;;observerad;;Älgsjön, Fallkorsningen;1358620;6659840;100;0;Värmland;Sunne;Värmland;Lysvik;;2007-07-01;;2007-07-01;
;13516541;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;;imago/adult;;friflygande;;;observerad;;Älgsjön, Fallkorsningen;1358620;6659840;100;0;Värmland;Sunne;Värmland;Lysvik;;2007-07-13;;2007-07-13;
